eid,subject,lab,start_time
bce09223-537c-4bff-97b9-c0735dee945f,CSP032,angelakilab,2021-12-08T10:02:15.923843
bd7a82b8-a96a-4826-af33-e8220a7ed67e,FMR031,angelakilab,2022-01-24T12:53:52.327286
be89fcd8-4149-4586-8fef-32689c4a923e,FMR031,angelakilab,2022-02-09T12:49:39.745991
bee8539b-3c0e-4da3-b124-3332a51cade5,NYU-58,angelakilab,2021-10-20T10:54:54.198864
c1d36966-198c-42d3-b319-9cf78e15ca01,CSP033,angelakilab,2021-12-16T12:25:54.758785
c221d81f-ff43-4b94-98dc-410e6ad9468c,FMR029,angelakilab,2021-07-27T09:32:03.613111
c2a1fed3-21ef-4c51-8b4a-b526b0b74021,SH022,angelakilab,2021-07-22T10:27:59.243623
c41d2f92-a489-4fcd-a7b9-e4857815d975,CSP032,angelakilab,2021-12-10T11:14:43.516671
c541a28b-69a7-45a3-805f-cc7975cf2b84,SH027,angelakilab,2021-12-14T13:29:50.368257
c5adc445-b4ed-4b11-b8a6-b64b6bd32fc2,NYU-58,angelakilab,2021-10-11T12:59:15.899083
c66145c0-b66e-46d0-a183-473a97e8c883,SH027,angelakilab,2022-01-12T13:46:56.955067
c7027a86-4f9d-4b9b-9be0-555d300a7720,SH024,angelakilab,2021-07-28T11:21:45.869629
c868bdd1-9300-4f82-87db-710fbc934d78,SH026,angelakilab,2022-01-20T12:35:51.478839
c8823393-874e-4b68-9b33-fda70ddfc512,SH024,angelakilab,2021-07-22T10:29:56.831790
c8aa41ca-e292-45f5-b1a6-9e3250ff77de,SH020,angelakilab,2021-07-23T10:11:48.907693
c8ac73d5-61fe-49ec-b683-15265c7e0ca6,SH024,angelakilab,2021-07-29T12:11:21.210294
c8c6efba-3efa-4a27-a647-a5366aacd4b5,SH024,angelakilab,2021-07-26T12:56:19.012240
c8f70560-a913-4f93-8112-293bb15ecd28,SH026,angelakilab,2021-12-09T15:08:15.292380
c9052ae2-1784-41e4-8f85-8cbdb94fa767,FMR029,angelakilab,2021-09-02T09:44:33.650632
